"city","sea"
"Tarragona (Cataluña, Spain)","Mediterranean Sea"
"Guayaquil (Ecuador)","Pacific Ocean"
"Haikou (Hainan, China)","South China Sea"
"Philipsburg (Sint Maarten)","Caribbean Sea"
"Lisboa (Lisboa, Portugal)","Atlantic Ocean"
"Clearwater (Florida, United States)","Gulf of Mexico"
"Takoradi (Western, Ghana)","Atlantic Ocean"
"Tawau (Sabah, Malaysia)","Sulawesi Sea"
"Saipan (Northern Mariana Islands)","Pacific Ocean"
"Palu (Sulawesi Tengah, Indonesia)","Sulawesi Sea"
"Oslo (Oslo, Norway)","Skagerrak"
"Almería (Andalucía, Spain)","Mediterranean Sea"
"Al Kuwayt (Kuwait)","Persian Gulf"
"Honolulu (Hawaii, United States)","Pacific Ocean"
"Iraklio (Kritis, Greece)","Mediterranean Sea"
"Darwin (Northern Territory, Australia)","Indian Ocean"
"Antalya (Antalya, Turkey)","Mediterranean Sea"
"Akita (Akita, Japan)","Sea of Japan"
"Hammerfest (Finnmark, Norway)","Barents Sea"
"Melbourne (Victoria, Australia)","Indian Ocean"
"Tonsberg (Vestfold, Norway)","Skagerrak"
"Malindi (Kenya)","Indian Ocean"
"Gustavia (Saint Barthelemy)","Caribbean Sea"
"Tel Aviv-Yafo (Tel Aviv, Israel)","Mediterranean Sea"
"Hermansverk (Sogn og Fjordane, Norway)","North Sea"
"Jamestown (Saint Helena)","Atlantic Ocean"
"Miami (Florida, United States)","Atlantic Ocean"
"New York (New York, United States)","Atlantic Ocean"
"Boston (Massachusetts, United States)","Atlantic Ocean"
"Male (Maldives)","Indian Ocean"
"Geelong (Victoria, Australia)","Indian Ocean"
"San Andres de Tumaco (Nariño, Colombia)","Pacific Ocean"
"Namibe (Namibe, Angola)","Atlantic Ocean"
"Ceuta (Ceuta)","Mediterranean Sea"
"Vlorë (Albania)","Mediterranean Sea"
"São Luís (Maranhão, Brazil)","Atlantic Ocean"
"Stamford (Connecticut, United States)","Atlantic Ocean"
"Nukualofa (Tonga)","Pacific Ocean"
"Da Nang (Vietnam)","South China Sea"
"Chimbote (Ancash, Peru)","Pacific Ocean"
"Viña del Mar (Valparaíso, Chile)","Pacific Ocean"
"Changwon (South Korea)","East China Sea"
"São Gonçalo (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Saint Johns (Antigua and Barbuda)","Caribbean Sea"
"Denpasar (Bali, Indonesia)","Indian Ocean"
"Pondicherry (Puducherry, India)","Gulf of Bengal"
"Sevastopol´ (Sevastopol´, Ukraine)","Black Sea"
"Rijeka (Croatia)","Mediterranean Sea"
"Bejaïa (Algeria)","Mediterranean Sea"
"Tanger (Tanger Tetouan, Morocco)","Atlantic Ocean"
"As Suways (Egypt)","Red Sea"
"Itaboraí (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Algeciras (Andalucía, Spain)","Mediterranean Sea"
"Murmansk (Murmanskaya, Russia)","Barents Sea"
"Durrës (Albania)","Mediterranean Sea"
"Saint Helier (Jersey)","The Channel"
"Palikir (Micronesia)","Pacific Ocean"
"Norfolk (Virginia, United States)","Atlantic Ocean"
"Panamá City (Panamá, Panama)","Pacific Ocean"
"Kénitra (Gharb Chrarda Beni Hssen, Morocco)","Atlantic Ocean"
"Sunderland (North East, United Kingdom)","North Sea"
"Mytilini (Boreioy Aigaioy, Greece)","Mediterranean Sea"
"Los Angeles (California, United States)","Pacific Ocean"
"Bushehr (Bushehr, Iran)","Persian Gulf"
"Davao (Davao, Philippines)","Sulawesi Sea"
"Mamuju (Sulawesi Barat, Indonesia)","Java Sea"
"Hue (Vietnam)","South China Sea"
"São Vicente (São Paulo, Brazil)","Atlantic Ocean"
"Douala (Littoral, Cameroon)","Atlantic Ocean"
